"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"2233","Phragmatobia fuliginosa","Insecta","Lepidoptera","Glossata","Erebidae","Phragmatobia","GCA_932526445.1","Chromosome"
"2234","Phrixothrix hirtus","Insecta","Coleoptera","Polyphaga","Phengodidae","Phrixothrix","GCA_024586415.1","Contig"
"2235","Phthorimaea operculella","Insecta","Lepidoptera","Glossata","Gelechiidae","Phthorimaea","GCA_024500475.1","Contig"
"2236","Phylloecus linearis","Insecta","Hymenoptera",NA,"Cephidae","Phylloecus","GCA_030142575.1","Scaffold"
"2237","Phylloecus xanthostoma","Insecta","Hymenoptera",NA,"Cephidae","Phylloecus","GCA_030142555.1","Scaffold"
"2238","Phyllotreta cruciferae","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Phyllotreta","GCA_917563865.1","Chromosome"
"2239","Phyllotreta striolata","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Phyllotreta","GCA_918026865.1","Chromosome"
"2240","Phymastichus coffea","Insecta","Hymenoptera","Apocrita","Eulophidae","Phymastichus","GCF_024137745.1","Contig"
"2241","Phymatocera aterrima","Insecta","Hymenoptera",NA,"Tenthredinidae","Phymatocera","GCA_963170745.1","Chromosome"
"2242","Phyto melanocephala","Insecta","Diptera","Brachycera","Rhinophoridae","Phyto","GCA_941918925.1","Chromosome"
"2243","Phytosciara flavipes","Insecta","Diptera","Nematocera","Sciaridae","Phytosciara","GCA_026413405.1","Scaffold"
"2244","Pieris brassicae","Insecta","Lepidoptera","Glossata","Pieridae","Pieris","GCF_905147105.1","Chromosome"
"2245","Pieris macdunnoughi","Insecta","Lepidoptera","Glossata","Pieridae","Pieris","GCA_905332375.1","Contig"
"2246","Pieris mannii","Insecta","Lepidoptera","Glossata","Pieridae","Pieris","GCA_028984075.1","Chromosome"
"2247","Pieris melete","Insecta","Lepidoptera","Glossata","Pieridae","Pieris","GCA_963693345.1","Scaffold"
"2248","Pieris napi","Insecta","Lepidoptera","Glossata","Pieridae","Pieris","GCF_905475465.1","Chromosome"
"2249","Pieris rapae","Insecta","Lepidoptera","Glossata","Pieridae","Pieris","GCF_905147795.1","Chromosome"
"2250","Piezodorus guildinii","Insecta","Hemiptera","Heteroptera","Pentatomidae","Piezodorus","GCA_023052935.1","Chromosome"
"2251","Pilophorus perplexus","Insecta","Hemiptera","Heteroptera","Miridae","Pilophorus","GCA_955831195.1","Chromosome"
"2252","Piruna aea","Insecta","Lepidoptera","Glossata","Hesperiidae","Piruna","GCA_018245375.1","Contig"
"2253","Piruna pirus","Insecta","Lepidoptera","Glossata","Hesperiidae","Piruna","GCA_018250935.1","Contig"
"2254","Pissodes strobi","Insecta","Coleoptera","Polyphaga","Curculionidae","Pissodes","GCA_016904865.1","Scaffold"
"2255","Plagiodera versicolora","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Plagiodera","GCA_035321685.1","Chromosome"
"2256","Plagodis dolabraria","Insecta","Lepidoptera","Glossata","Geometridae","Plagodis","GCA_963854805.1","Chromosome"
"2257","Plagodis pulveraria","Insecta","Lepidoptera","Glossata","Geometridae","Plagodis","GCA_963890685.1","Chromosome"
"2258","Planococcus citri","Insecta","Hemiptera","Sternorrhyncha","Pseudococcidae","Planococcus","GCA_950023065.1","Chromosome"
"2259","Platycheirus albimanus","Insecta","Diptera","Brachycera","Syrphidae","Platycheirus","GCA_916050605.1","Chromosome"
"2260","Platycnemis pennipes","Insecta","Odonata","Zygoptera","Platycnemididae","Platycnemis","GCA_933228895.1","Chromosome"
"2261","Platygaster equestris","Insecta","Hymenoptera","Apocrita","Platygastridae","Platygaster","GCA_030522785.1","Scaffold"
"2262","Platygaster orseoliae","Insecta","Hymenoptera","Apocrita","Platygastridae","Platygaster","GCA_030522825.1","Scaffold"
"2263","Platygaster robiniae","Insecta","Hymenoptera","Apocrita","Platygastridae","Platygaster","GCA_028476575.1","Chromosome"
"2264","Platypus cylindrus","Insecta","Coleoptera","Polyphaga","Curculionidae","Platypus","GCA_949748235.1","Chromosome"
"2265","Platyscapa corneri","Insecta","Hymenoptera","Apocrita","Agaonidae","Platyscapa","GCA_018907185.1","Scaffold"
"2266","Platyscelio sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Platyscelio","GCA_022817125.1","Scaffold"
"2267","Platyura marginata","Insecta","Diptera","Nematocera","Keroplatidae","Platyura","GCA_026745375.1","Scaffold"
"2268","Platyusa sonomae","Insecta","Coleoptera","Polyphaga","Staphylinidae","Platyusa","GCA_913698005.1","Contig"
"2269","Plebejus anna","Insecta","Lepidoptera","Glossata","Lycaenidae","Plebejus","GCA_018236805.1","Contig"
"2270","Plebejus argus","Insecta","Lepidoptera","Glossata","Lycaenidae","Plebejus","GCA_905404155.3","Chromosome"
"2271","Plebejus idas","Insecta","Lepidoptera","Glossata","Lycaenidae","Plebejus","GCA_018236485.1","Contig"
"2272","Plebejus melissa","Insecta","Lepidoptera","Glossata","Lycaenidae","Plebejus","GCA_018236845.1","Contig"
"2273","Plectrocnemia conspersa","Insecta","Trichoptera","Annulipalpia","Polycentropodidae","Plectrocnemia","GCA_009617715.1","Contig"
"2274","Pleistodontes nigriventris","Insecta","Hymenoptera","Apocrita","Agaonidae","Pleistodontes","GCA_903653215.1","Scaffold"
"2275","Plemyria rubiginata","Insecta","Lepidoptera","Glossata","Geometridae","Plemyria","GCA_963576535.1","Chromosome"
"2276","Plodia interpunctella","Insecta","Lepidoptera","Glossata","Pyralidae","Plodia","GCF_027563975.1","Chromosome"
"2277","Plusia festucae","Insecta","Lepidoptera","Glossata","Noctuidae","Plusia","GCA_950381575.1","Chromosome"
"2278","Plutella xylostella","Insecta","Lepidoptera","Glossata","Plutellidae","Plutella","GCF_932276165.1","Chromosome"
"2279","Pocota personata","Insecta","Diptera","Brachycera","Syrphidae","Pocota","GCA_963082735.1","Chromosome"
"2280","Podabrus alpinus","Insecta","Coleoptera","Polyphaga","Cantharidae","Podabrus","GCA_932274525.1","Chromosome"
"2281","Poecilobothrus nobilitatus","Insecta","Diptera","Brachycera","Dolichopodidae","Poecilobothrus","GCA_947095535.1","Chromosome"
"2282","Pogonomyrmex barbatus","Insecta","Hymenoptera","Apocrita","Formicidae","Pogonomyrmex","GCF_000187915.1","Scaffold"
"2283","Pogonomyrmex californicus","Insecta","Hymenoptera","Apocrita","Formicidae","Pogonomyrmex","GCA_024349325.1","Scaffold"
"2284","Pogonus chalceus","Insecta","Coleoptera","Adephaga","Carabidae","Pogonus","GCA_002278615.1","Chromosome"
"2285","Polia nebulosa","Insecta","Lepidoptera","Glossata","Noctuidae","Polia","GCA_951329385.1","Chromosome"
"2286","Polietes domitor","Insecta","Diptera","Brachycera","Muscidae","Polietes","GCA_947397865.1","Chromosome"
"2287","Polistes canadensis","Insecta","Hymenoptera","Apocrita","Vespidae","Polistes","GCF_001313835.1","Scaffold"
"2288","Polistes dominula","Insecta","Hymenoptera","Apocrita","Vespidae","Polistes","GCF_001465965.1","Scaffold"
"2289","Polistes dorsalis","Insecta","Hymenoptera","Apocrita","Vespidae","Polistes","GCA_010416905.1","Scaffold"
"2290","Polistes exclamans","Insecta","Hymenoptera","Apocrita","Vespidae","Polistes","GCA_023678865.1","Scaffold"
"2291","Polistes fuscatus","Insecta","Hymenoptera","Apocrita","Vespidae","Polistes","GCF_010416935.1","Scaffold"
"2292","Polistes metricus","Insecta","Hymenoptera","Apocrita","Vespidae","Polistes","GCA_010416925.1","Scaffold"
"2293","Pollenia amentaria","Insecta","Diptera","Brachycera","Polleniidae","Pollenia","GCA_943735925.1","Chromosome"
"2294","Pollenia angustigena","Insecta","Diptera","Brachycera","Polleniidae","Pollenia","GCA_930367215.1","Chromosome"
"2295","Pollenia labialis","Insecta","Diptera","Brachycera","Polleniidae","Pollenia","GCA_949318255.1","Chromosome"
"2296","Polybia occidentalis","Insecta","Hymenoptera","Apocrita","Vespidae","Polybia","GCA_020726605.1","Scaffold"
"2297","Polyctor polyctor","Insecta","Lepidoptera","Glossata","Hesperiidae","Polyctor","GCA_018247175.1","Contig"
"2298","Polydrusus cervinus","Insecta","Coleoptera","Polyphaga","Curculionidae","Polydrusus","GCA_935413205.1","Chromosome"
"2299","Polydrusus tereticollis","Insecta","Coleoptera","Polyphaga","Curculionidae","Polydrusus","GCA_963576705.1","Chromosome"
"2300","Polyergus mexicanus","Insecta","Hymenoptera","Apocrita","Formicidae","Polyergus","GCA_030449975.1","Scaffold"
"2301","Polygonus leo","Insecta","Lepidoptera","Glossata","Hesperiidae","Polygonus","GCA_018250455.1","Contig"
"2302","Polygonus savigny","Insecta","Lepidoptera","Glossata","Hesperiidae","Polygonus","GCA_018250515.1","Contig"
"2303","Polymixis flavicincta","Insecta","Lepidoptera","Glossata","Noctuidae","Polymixis","GCA_949987655.1","Chromosome"
"2304","Polymixis lichenea","Insecta","Lepidoptera","Glossata","Noctuidae","Polymixis","GCA_949091785.1","Chromosome"
"2305","Polyommatus icarus","Insecta","Lepidoptera","Glossata","Lycaenidae","Polyommatus","GCA_937595015.1","Chromosome"
"2306","Polyommatus iphigenia","Insecta","Lepidoptera","Glossata","Lycaenidae","Polyommatus","GCA_963422495.1","Chromosome"
"2307","Polypedilum pembai","Insecta","Diptera","Nematocera","Chironomidae","Polypedilum","GCA_014622435.1","Scaffold"
"2308","Polypedilum vanderplanki","Insecta","Diptera","Nematocera","Chironomidae","Polypedilum","GCA_018290095.1","Chromosome"
"2309","Polyploca ridens","Insecta","Lepidoptera","Glossata","Drepanidae","Polyploca","GCA_951394255.1","Chromosome"
"2310","Pontia daplidice","Insecta","Lepidoptera","Glossata","Pieridae","Pontia","GCA_963693355.1","Contig"
"2311","Popillia japonica","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Popillia","GCA_031211285.1","Scaffold"
"2312","Porricondyla nigripennis","Insecta","Diptera","Nematocera","Cecidomyiidae","Porricondyla","GCA_026546635.1","Scaffold"
"2313","Portevinia maculata","Insecta","Diptera","Brachycera","Syrphidae","Portevinia","GCA_949715645.1","Chromosome"
"2314","Potamanaxas melicertes","Insecta","Lepidoptera","Glossata","Hesperiidae","Potamanaxas","GCA_018250815.1","Contig"
"2315","Prenolepis imparis","Insecta","Hymenoptera","Apocrita","Formicidae","Prenolepis","GCA_030444845.1","Scaffold"
"2316","Priacma serrata","Insecta","Coleoptera","Archostemata","Cupedidae","Priacma","GCA_000281835.1","Contig"
"2317","Prismosticta regalis","Insecta","Lepidoptera","Glossata","Endromidae","Prismosticta","GCA_028566855.1","Scaffold"
"2318","Probaryconus sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Probaryconus","GCA_022817065.1","Scaffold"
"2319","Proctacanthus coquilletti","Insecta","Diptera","Brachycera","Asilidae","Proctacanthus","GCA_001932985.1","Scaffold"
"2320","Proechinophthirus fluctus","Insecta","Phthiraptera","Anoplura","Echinophthiriidae","Proechinophthirus","GCA_913698485.1","Contig"
"2321","Propsilocerus akamusi","Insecta","Diptera","Nematocera","Chironomidae","Propsilocerus","GCA_018397935.1","Chromosome"
"2322","Propylea japonica","Insecta","Coleoptera","Polyphaga","Coccinellidae","Propylea","GCA_013421045.1","Chromosome"
"2323","Prorops nasuta","Insecta","Hymenoptera","Apocrita","Bethylidae","Prorops","GCA_024137725.1","Contig"
"2324","Protaetia brevitarsis","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Protaetia","GCA_004143645.1","Scaffold"
"2325","Proteides mercurius","Insecta","Lepidoptera","Glossata","Hesperiidae","Proteides","GCA_018248415.1","Contig"
"2326","Protelbella alburna","Insecta","Lepidoptera","Glossata","Hesperiidae","Protelbella","GCA_018246735.1","Contig"
"2327","Protelbella ruficauda","Insecta","Lepidoptera","Glossata","Hesperiidae","Protelbella","GCA_018245795.1","Contig"
"2328","Protesilaus protesilaus","Insecta","Lepidoptera","Glossata","Papilionidae","Protesilaus","GCA_018248075.1","Contig"
"2329","Protocalliphora azurea","Insecta","Diptera","Brachycera","Calliphoridae","Protocalliphora","GCA_932274085.1","Chromosome"
"2330","Protodeltote pygarga","Insecta","Lepidoptera","Glossata","Noctuidae","Protodeltote","GCA_936450705.2","Chromosome"
"2331","Protographium marcellus","Insecta","Lepidoptera","Glossata","Papilionidae","Protographium","GCA_018247955.1","Contig"
"2332","Protonemura montana","Insecta","Plecoptera",NA,"Nemouridae","Protonemura","GCA_947568835.1","Chromosome"
"2333","Protophormia terraenovae","Insecta","Diptera","Brachycera","Calliphoridae","Protophormia","GCA_951394005.1","Chromosome"
"2334","Pseudandraca flavamaculata","Insecta","Lepidoptera","Glossata","Endromidae","Pseudandraca","GCA_028566875.1","Scaffold"
"2335","Pseudanteris insignis","Insecta","Hymenoptera","Apocrita","Scelionidae","Pseudanteris","GCA_022817105.1","Scaffold"
"2336","Pseudeuparius sepicola","Insecta","Coleoptera","Polyphaga","Anthribidae","Pseudeuparius","GCA_963920635.1","Chromosome"
"2337","Pseudoatta argentina","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudoatta","GCA_017607525.1","Scaffold"
"2338","Pseudococcus longispinus","Insecta","Hemiptera","Sternorrhyncha","Pseudococcidae","Pseudococcus","GCA_900064475.1","Scaffold"
"2339","Pseudococcus viburni","Insecta","Hemiptera","Sternorrhyncha","Pseudococcidae","Pseudococcus","GCA_033439095.1","Scaffold"
"2340","Pseudocoladenia festa","Insecta","Lepidoptera","Glossata","Hesperiidae","Pseudocoladenia","GCA_018247055.1","Contig"
"2341","Pseudodrephalys atinas","Insecta","Lepidoptera","Glossata","Hesperiidae","Pseudodrephalys","GCA_018250135.1","Contig"
"2342","Pseudoips prasinana","Insecta","Lepidoptera","Glossata","Nolidae","Pseudoips","GCA_951640165.1","Chromosome"
"2343","Pseudolycoriella hygida","Insecta","Diptera","Nematocera","Sciaridae","Pseudolycoriella","GCA_029228625.1","Chromosome"
"2344","Pseudomimeciton antennatum","Insecta","Coleoptera","Polyphaga","Staphylinidae","Pseudomimeciton","GCA_913698435.1","Contig"
"2345","Pseudomyrmex concolor","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudomyrmex","GCA_014839585.1","Scaffold"
"2346","Pseudomyrmex cubaensis","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudomyrmex","GCA_014825685.1","Scaffold"
"2347","Pseudomyrmex dendroicus","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudomyrmex","GCA_014825645.1","Scaffold"
"2348","Pseudomyrmex elongatus","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudomyrmex","GCA_014825605.1","Scaffold"
"2349","Pseudomyrmex flavicornis","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudomyrmex","GCA_014825475.1","Scaffold"
"2350","Pseudomyrmex gracilis","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudomyrmex","GCF_002006095.1","Scaffold"
"2351","Pseudomyrmex pallidus","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudomyrmex","GCA_014825455.1","Scaffold"
"2352","Pseudomyrmex sp. PSW-54","Insecta","Hymenoptera","Apocrita","Formicidae","Pseudomyrmex","GCA_014825495.1","Scaffold"
"2353","Pseudonascus paulliniae","Insecta","Lepidoptera","Glossata","Hesperiidae","Pseudonascus","GCA_018251095.1","Contig"
"2354","Pseudoneuroterus saliens","Insecta","Hymenoptera","Apocrita","Cynipidae","Pseudoneuroterus","GCA_900490055.1","Scaffold"
"2355","Pseudosarbia flavofasciata","Insecta","Lepidoptera","Glossata","Hesperiidae","Pseudosarbia","GCA_018248215.1","Contig"
"2356","Psilanteris sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Psilanteris","GCA_022817085.1","Scaffold"
"2357","Psix sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Psix","GCA_022817045.1","Scaffold"
"2358","Psylliodes chrysocephala","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Psylliodes","GCA_927349885.1","Chromosome"
"2359","Psyttalia concolor","Insecta","Hymenoptera","Apocrita","Braconidae","Psyttalia","GCA_030522845.1","Scaffold"
"2360","Psyttalia lounsburyi","Insecta","Hymenoptera","Apocrita","Braconidae","Psyttalia","GCA_030522865.1","Scaffold"
"2361","Pteromalus puparum","Insecta","Hymenoptera","Apocrita","Pteromalidae","Pteromalus","GCA_012977825.3","Chromosome"
"2362","Pterostichus madidus","Insecta","Coleoptera","Adephaga","Carabidae","Pterostichus","GCA_911728475.1","Chromosome"
"2363","Pterostichus niger","Insecta","Coleoptera","Adephaga","Carabidae","Pterostichus","GCA_947425015.1","Chromosome"
"2364","Ptilodon capucinus","Insecta","Lepidoptera","Glossata","Notodontidae","Ptilodon","GCA_914767695.1","Chromosome"
"2365","Ptychoptera albimana","Insecta","Diptera","Nematocera","Ptychopteridae","Ptychoptera","GCA_961205885.1","Chromosome"
"2366","Pyralis farinalis","Insecta","Lepidoptera","Glossata","Pyralidae","Pyralis","GCA_947507595.1","Chromosome"
"2367","Pyrausta aurata","Insecta","Lepidoptera","Glossata","Crambidae","Pyrausta","GCA_963584085.1","Chromosome"
"2368","Pyrausta despicata","Insecta","Lepidoptera","Glossata","Crambidae","Pyrausta","GCA_963921415.1","Chromosome"
"2369","Pyrausta nigrata","Insecta","Lepidoptera","Glossata","Crambidae","Pyrausta","GCA_949316185.1","Chromosome"
"2370","Pyrgus malvae","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrgus","GCA_911387765.1","Chromosome"
"2371","Pyrochroa serraticornis","Insecta","Coleoptera","Polyphaga","Pyrochroidae","Pyrochroa","GCA_905333025.1","Chromosome"
"2372","Pyrocoelia pectoralis","Insecta","Coleoptera","Polyphaga","Lampyridae","Pyrocoelia","GCA_913698365.1","Contig"
"2373","Pyrrhia umbra","Insecta","Lepidoptera","Glossata","Noctuidae","Pyrrhia","GCA_963891755.1","Chromosome"
"2374","Pyrrhopyge amythaon","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018219835.1","Contig"
"2375","Pyrrhopyge aziza","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018239245.1","Contig"
"2376","Pyrrhopyge creona","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018245055.1","Contig"
"2377","Pyrrhopyge cressoni","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018245695.1","Contig"
"2378","Pyrrhopyge crida","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018247035.1","Contig"
"2379","Pyrrhopyge evansi","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018247275.1","Contig"
"2380","Pyrrhopyge guianae","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018245515.1","Contig"
"2381","Pyrrhopyge hadassa","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018239505.1","Contig"
"2382","Pyrrhopyge haemon","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018245135.1","Contig"
"2383","Pyrrhopyge kelita","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018239605.1","Contig"
"2384","Pyrrhopyge melanomerus","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018239385.1","Contig"
"2385","Pyrrhopyge papius","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018239585.1","Contig"
"2386","Pyrrhopyge pelota","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018246515.1","Contig"
"2387","Pyrrhopyge phidias","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018246615.1","Contig"
"2388","Pyrrhopyge proculus","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018246695.1","Contig"
"2389","Pyrrhopyge sadia","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018245235.1","Contig"
"2390","Pyrrhopyge schausi","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018245915.1","Contig"
"2391","Pyrrhopyge sergius","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018239465.1","Contig"
"2392","Pyrrhopyge tatei","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018246915.1","Contig"
"2393","Pyrrhopyge telassa","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018245995.1","Contig"
"2394","Pyrrhopyge thericles","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018239185.1","Contig"
"2395","Pyrrhopyge zenodorus","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopyge","GCA_018245775.1","Contig"
"2396","Pyrrhopygopsis socrates","Insecta","Lepidoptera","Glossata","Hesperiidae","Pyrrhopygopsis","GCA_022318265.1","Contig"
"2397","Pyrrhosoma nymphula","Insecta","Odonata","Zygoptera","Coenagrionidae","Pyrrhosoma","GCA_963573305.1","Chromosome"
"2398","Pythonides amaryllis","Insecta","Lepidoptera","Glossata","Hesperiidae","Pythonides","GCA_018252455.1","Contig"
"2399","Quadriops clusia","Insecta","Coleoptera","Polyphaga","Hydrophilidae","Quadriops","GCA_033557875.1","Contig"
"2400","Quadrus cerialis","Insecta","Lepidoptera","Glossata","Hesperiidae","Quadrus","GCA_018252155.1","Contig"
"2401","Racta chiria","Insecta","Lepidoptera","Glossata","Hesperiidae","Racta","GCA_018249195.1","Contig"
"2402","Resseliella maxima","Insecta","Diptera","Nematocera","Cecidomyiidae","Resseliella","GCA_029041755.1","Contig"
"2403","Reticulitermes lucifugus","Insecta","Blattodea",NA,"Rhinotermitidae","Reticulitermes","GCA_026260175.1","Scaffold"
"2404","Reticulitermes speratus","Insecta","Blattodea",NA,"Rhinotermitidae","Reticulitermes","GCA_021186555.1","Scaffold"
"2405","Rhagium mordax","Insecta","Coleoptera","Polyphaga","Cerambycidae","Rhagium","GCA_963680705.1","Chromosome"
"2406","Rhagoletis cerasi","Insecta","Diptera","Brachycera","Tephritidae","Rhagoletis","GCA_029783565.1","Scaffold"
"2407","Rhagoletis pomonella","Insecta","Diptera","Brachycera","Tephritidae","Rhagoletis","GCF_013731165.1","Scaffold"
"2408","Rhagoletis zephyria","Insecta","Diptera","Brachycera","Tephritidae","Rhagoletis","GCF_001687245.2","Scaffold"
"2409","Rhagonycha fulva","Insecta","Coleoptera","Polyphaga","Cantharidae","Rhagonycha","GCA_905340355.1","Chromosome"
"2410","Rhagonycha lutea","Insecta","Coleoptera","Polyphaga","Cantharidae","Rhagonycha","GCA_958510855.1","Chromosome"
"2411","Rhamnusium bicolor","Insecta","Coleoptera","Polyphaga","Cerambycidae","Rhamnusium","GCA_029963845.1","Contig"
"2412","Rhamphomyia laevipes","Insecta","Diptera","Brachycera","Empididae","Rhamphomyia","GCA_963920725.1","Chromosome"
"2413","Rhaphigaster nebulosa","Insecta","Hemiptera","Heteroptera","Pentatomidae","Rhaphigaster","GCA_948150685.1","Chromosome"
"2414","Rhingia campestris","Insecta","Diptera","Brachycera","Syrphidae","Rhingia","GCA_932526625.1","Chromosome"
"2415","Rhingia rostrata","Insecta","Diptera","Brachycera","Syrphidae","Rhingia","GCA_949824845.1","Chromosome"
"2416","Rhinocypha anisoptera","Insecta","Odonata","Zygoptera","Chlorocyphidae","Rhinocypha","GCA_011762765.2","Scaffold"
"2417","Rhodnius prolixus","Insecta","Hemiptera","Heteroptera","Reduviidae","Rhodnius","GCA_000181055.1","Contig"
"2418","Rhodophaea formosa","Insecta","Lepidoptera","Glossata","Pyralidae","Rhodophaea","GCA_963082605.1","Chromosome"
"2419","Rhogogaster chlorosoma","Insecta","Hymenoptera",NA,"Tenthredinidae","Rhogogaster","GCA_944452935.1","Chromosome"
"2420","Rhopalosiphum maidis","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Rhopalosiphum","GCF_003676215.2","Chromosome"
"2421","Rhopalosiphum padi","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Rhopalosiphum","GCF_020882245.1","Chromosome"
"2422","Rhorus exstirpatorius","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Rhorus","GCA_963564615.1","Chromosome"
"2423","Rhyacophila brunnea","Insecta","Trichoptera","Integripalpia","Rhyacophilidae","Rhyacophila","GCA_022495005.1","Scaffold"
"2424","Rhyacophila evoluta","Insecta","Trichoptera","Integripalpia","Rhyacophilidae","Rhyacophila","GCA_022494875.1","Scaffold"
"2425","Rhynchophorus ferrugineus","Insecta","Coleoptera","Polyphaga","Curculionidae","Rhynchophorus","GCA_014462685.1","Scaffold"
"2426","Rhyzopertha dominica","Insecta","Coleoptera","Polyphaga","Bostrichidae","Rhyzopertha","GCA_025024175.1","Scaffold"
"2427","Ricinus arcuatus","Insecta","Phthiraptera","Amblycera","Ricinidae","Ricinus","GCA_027475445.1","Scaffold"
"2428","Ricinus marginatus","Insecta","Phthiraptera","Amblycera","Ricinidae","Ricinus","GCA_028565995.1","Scaffold"
"2429","Ridens mephitis","Insecta","Lepidoptera","Glossata","Hesperiidae","Ridens","GCA_018251215.1","Contig"
"2430","Riptortus pedestris","Insecta","Hemiptera","Heteroptera","Alydidae","Riptortus","GCA_019009955.1","Chromosome"
"2431","Rutpela maculata","Insecta","Coleoptera","Polyphaga","Cerambycidae","Rutpela","GCA_936432065.2","Chromosome"
"2432","Sabethes cyaneus","Insecta","Diptera","Nematocera","Culicidae","Sabethes","GCA_943734655.1","Chromosome"
"2433","Salantoia eriopis","Insecta","Lepidoptera","Glossata","Hesperiidae","Salantoia","GCA_018251595.1","Contig"
"2434","Salatis canalis","Insecta","Lepidoptera","Glossata","Hesperiidae","Salatis","GCA_018249535.1","Contig"
"2435","Salpingus planirostris","Insecta","Coleoptera","Polyphaga","Salpingidae","Salpingus","GCA_949788335.1","Chromosome"
"2436","Samia ricini","Insecta","Lepidoptera","Glossata","Saturniidae","Samia","GCA_014132275.2","Chromosome"
"2437","Sarangesa brigida","Insecta","Lepidoptera","Glossata","Hesperiidae","Sarangesa","GCA_018246035.1","Contig"
"2438","Sarcophaga bullata","Insecta","Diptera","Brachycera","Sarcophagidae","Sarcophaga","GCA_005959815.1","Scaffold"
"2439","Sarcophaga caerulescens","Insecta","Diptera","Brachycera","Sarcophagidae","Sarcophaga","GCA_927399465.1","Chromosome"
"2440","Sarcophaga carnaria","Insecta","Diptera","Brachycera","Sarcophagidae","Sarcophaga","GCA_958299815.1","Chromosome"
"2441","Sarcophaga peregrina","Insecta","Diptera","Brachycera","Sarcophagidae","Sarcophaga","GCA_014635995.1","Chromosome"
"2442","Sarcophaga rosellei","Insecta","Diptera","Brachycera","Sarcophagidae","Sarcophaga","GCA_930367235.1","Chromosome"
"2443","Sarcophaga subvicina","Insecta","Diptera","Brachycera","Sarcophagidae","Sarcophaga","GCA_936449025.1","Chromosome"
"2444","Sarcophaga variegata","Insecta","Diptera","Brachycera","Sarcophagidae","Sarcophaga","GCA_932273835.1","Chromosome"
"2445","Sarcophagidae sp. BV-2014","Insecta","Diptera","Brachycera","Sarcophagidae",NA,"GCA_001047195.1","Scaffold"
"2446","Sarmientola browni","Insecta","Lepidoptera","Glossata","Hesperiidae","Sarmientoia","GCA_018251675.1","Contig"
"2447","Sarophorus costatus","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Sarophorus","GCA_032191635.1","Contig"
"2448","Sarota myrtea","Insecta","Lepidoptera","Glossata","Riodinidae","Sarota","GCA_018237485.1","Contig"
"2449","Satarupa nymphalis","Insecta","Lepidoptera","Glossata","Hesperiidae","Satarupa","GCA_018247495.1","Contig"
